,word,vec
50000,make a fool of,
50001,make an April fool of,
50002,make an ass of,
50003,trifle with,
50004,cajole,
50005,flatter,
50006,come over,
50007,gild the pill,
50008,make things pleasant,
50009,divert,
50010,put a good face upon,
50011,dissemble,
50012,cog,
50013,cog the dice,
50014,load the dice,
50015,stack the deck,
50016,live by one's wits,
50017,play at hide and seek,
50018,obtain money under false pretenses,
50019,conjure,
50020,juggle,
50021,practice chicanery,
50022,deacon,
50023,play off,
50024,palm off,
50025,foist off,
50026,fob-off,
50027,lie,
50028,misinform,
50029,mislead,
50030,betray,
50031,be deceived,
50032,deceived,
50033,deceiving,
50034,cunning,
50035,prestigious,
50036,prestigiatory,
50037,deceptive,
50038,deceptious,
50039,deceitful,
50040,covinous,
50041,delusive,
50042,delusory,
50043,illusive,
50044,illusory,
50045,elusive,
50046,insidious,
50047,ad captandum vulgus,
50048,untrue,
50049,mock,
50050,sham,
50051,make-believe,
50052,counterfeit,
50053,snide,
50054,pseudo,
50055,spurious,
50056,supposititious,
50057,so-called,
50058,pretended,
50059,feigned,
50060,trumped up,
50061,bogus,
50062,scamped,
50063,fraudulent,
50064,tricky,
50065,factitious bastard,
50066,surreptitious,
50067,illegitimate,
50068,contraband,
50069,adulterated,
50070,sophisticated,
50071,unsound,
50072,rotten at the core,
50073,colorable,
50074,disguised,
50075,meretricious,
50076,tinsel,
50077,pinchbeck,
50078,plated,
50079,catchpenny,
50080,Brummagem,
50081,artificial,
50082,synthetic,
50083,ersatz,
50084,simulated,
50085,under false colors,
50086,under the garb of,
50087,under cover of,
50088,over the left,
50089,keep the word of promise to the ear and break it to keep the word of promise to the ear and break it to the hope,
50090,fronti nulla fides,
50091,ah that deceit should steal such gentle shapes,
50092,a quicksand of deceit,
50093,decipimur specie recti,
50094,falsi crimen,
50095,fraus est celare fraudem,
50096,lupus in fabula,
50097,"so smooth, he daubed his vice with show of so smooth, he daubed his vice with show of virtue",
50098,untruth,
50099,falsehood,
50100,lie,
50101,story,
50102,thing that is not,
50103,fib,
50104,bounce,
50105,crammer,
50106,taradiddle,
50107,whopper,
50108,jhuth,
50109,forgery,
50110,fabrication,
50111,invention,
50112,misstatement,
50113,misrepresentation,
50114,perversion,
50115,falsification,
50116,gloss,
50117,suggestio falsi,
50118,exaggeration,
50119,invention,
50120,fabrication,
50121,fiction,
50122,fable,
50123,nursery tale,
50124,romance,
50125,absurd story,
50126,untrue story,
50127,false story,
50128,trumped up story,
50129,trumped up statement,
50130,thing devised by the enemy,
50131,canard,
50132,shave,
50133,sell,
50134,hum,
50135,traveler's tale,
50136,Canterbury tale,
50137,cock and bull story,
50138,fairy tale,
50139,fake,
50140,claptrap,
50141,press agent's yarn,
50142,puff,
50143,puffery,
50144,myth,
50145,moonshine,
50146,bosh,
50147,all my eye and Betty Martin,
50148,mare's nest,
50149,farce,
50150,irony,
50151,half truth,
50152,white lie,
50153,pious fraud,
50154,mental reservation,
50155,pretense,
50156,pretext,
50157,false plea,
50158,subterfuge,
50159,evasion,
50160,shift,
50161,shuffle,
50162,make-believe,
50163,sham,
50164,profession,
50165,empty words,
50166,Judas kiss,
50167,disguise,
50168,have a false meaning,
50169,untrue,
50170,false,
50171,phony,
50172,trumped up,
50173,void of foundation,
50174,without-foundation,
50175,fictive,
50176,far from the truth,
50177,false as dicer's oaths,
50178,unfounded,
50179,ben trovato,
50180,invented,
50181,fabulous,
50182,fabricated,
50183,forged,
50184,fictitious,
50185,factitious,
50186,supposititious,
50187,surreptitious,
50188,elusory,
50189,illusory,
50190,ironical,
50191,soi-disant,
50192,se non e vero e ben trovato,
50193,where none is meant that meets the ear,
50194,dupe,
50195,gull,
50196,gudgeon,
50197,gobemouche,
50198,cull,
50199,cully,
50200,victim,
50201,pigeon,
50202,April fool,
50203,jay,
50204,sucker,
50205,laughingstock,
50206,Cyclops,
50207,simple Simon,
50208,flat,
50209,greenhorn,
50210,fool,
50211,puppet,
50212,cat's paw,
50213,be deceived,
50214,be the dupe of,
50215,fall into a trap,
50216,swallow the bait,
50217,nibble at the bait,
50218,bite,
50219,catch a Tartar,
50220,credulous,
50221,mistaken,
50222,deceiver,
50223,dissembler,
50224,hypocrite,
50225,sophist,
50226,Pharisee,
50227,Jesuit,
50228,Mawworm,
50229,Pecksniff,
50230,Joseph Surface,
50231,Tartufe,
50232,Janus,
50233,serpent,
50234,snake in the grass,
50235,cockatrice,
50236,Judas,
50237,wolf in sheep's clothing,
50238,jilt,
50239,shuffler,
50240,stool pigeon,
50241,liar,
50242,story-teller,
50243,perjurer,
50244,false witness,
50245,menteur a triple etage,
50246,Scapin,
50247,bunko steerer,
50248,carpetbagger,
50249,capper,
50250,faker,
50251,fraud,
50252,four flusher,
50253,horse coper,
50254,ringer,
50255,spieler,
50256,straw bidder,
50257,imposter,
50258,pretender,
50259,soi-disant,
50260,humbug,
50261,adventurer,
50262,Cagliostro,
50263,Fernam Mendez Pinto,
50264,ass in lion's skin,
50265,actor,
50266,quack,
50267,charlatan,
50268,mountebank,
50269,saltimbanco,
50270,saltimbanque,
50271,empiric,
50272,quacksalver,
50273,medicaster,
50274,Rosicrucian,
50275,gypsy,
50276,man of straw,
50277,conjuror,
50278,juggler,
50279,trickster,
50280,prestidigitator,
50281,jockey,
50282,crimp,
50283,decoy,
50284,decoy duck,
50285,rogue,
50286,knave,
50287,cheat,
50288,swindler,
50289,jobber,
50290,saint abroad and a devil at home,
50291,exaggeration,
50292,expansion,
50293,hyperbole,
50294,stretch,
50295,strain,
50296,coloring,
50297,high coloring,
50298,caricature,
50299,caricatura,
50300,extravagance,
50301,Baron Munchausen,
50302,men in buckram,
50303,yarn,
50304,fringe,
50305,embroidery,
50306,traveler's tale,
50307,fish story,
50308,gooseberry,
50309,storm in a teacup,
50310,much ado about nothing,
50311,puff,
50312,puffery,
50313,rant,
50314,figure of speech,
50315,facon de parler,
50316,stretch of fancy,
50317,stretch of the imagination,
50318,flight of fancy,
50319,false coloring,
50320,aggravation,
50321,exaggerate,
50322,magnify,
50323,pile up,
50324,aggravate,
50325,amplify,
50326,overestimate,
50327,hyperbolize,
50328,overcharge,
50329,overstate,
50330,overdraw,
50331,overlay,
50332,overshoot the mark,
50333,overpraise,
50334,make over much,
50335,over the most of,
50336,strain,
50337,strain over a point,
50338,stretch,
50339,stretch a point,
50340,go great lengths,
50341,spin a long yarn,
50342,draw with a longbow,
50343,shoot with a longbow,
50344,deal in the marvelous,
50345,out-Herod Herod,
50346,run riot,
50347,talk at random,
50348,heighten,
50349,overcolor,
50350,color highly,
50351,color too highly,
50352,broder,
50353,flourish,
50354,color,
50355,puff,
50356,exaggerated,
50357,overwrought,
50358,bombastic,
50359,hyperbolical,
50360,on stilts,
50361,fabulous,
50362,extravagant,
50363,preposterous,
50364,egregious,
50365,outre,
50366,highflying,
50367,hyperbolically,
50368,excitabat enim fluctus in simpulo,
50369,indication,
50370,symbolism,
50371,symbolization,
50372,semiology,
50373,semiotics,
50374,semeiology,
50375,semeiotics,
50376,Zeitgeist,
50377,        ,
50378,characteristic,
50379,diagnostic,
50380,lineament,
50381,feature,
50382,trait,
50383,fingerprint,
50384,voiceprint,
50385,footprint,
50386,noseprint,
50387,cloven hoof,
50388,footfall,
50389,recognition,
50390,diagnostic,
50391,divining rod,
50392,detector,
50393,sign,
50394,symbol,
50395,index,
50396,indice,
50397,indicator,
50398,point,
50399,pointer,
50400,exponent,
50401,note,
50402,token,
50403,symptom,
50404,dollar sign,
50405,dollar mark,
50406,type,
50407,figure,
50408,emblem,
50409,cipher,
50410,device,
50411,representation,
50412,epigraph,
50413,motto,
50414,posy,
50415,gesture,
50416,gesticulation,
50417,pantomime,
50418,wink,
50419,glance,
50420,leer,
50421,nod,
50422,shrug,
50423,beck,
50424,touch,
50425,nudge,
50426,dactylology,
50427,dactylonomy,
50428,freemasonry,
50429,telegraphy,
50430,chirology,
50431,byplay,
50432,dumb show,
50433,cue,
50434,hint,
50435,clue,
50436,clew,
50437,key,
50438,scent,
50439,signal,
50440,signal post,
50441,rocket,
50442,blue light,
50443,watch fire,
50444,watch tower,
50445,telegraph,
50446,semaphore,
50447,flagstaff,
50448,cresset,
50449,fiery cross,
50450,calumet,
50451,heliograph,
50452,guidon,
50453,headlight,
50454,        ,
50455,mark,
50456,scratch,
50457,line,
50458,stroke,
50459,dash,
50460,score,
50461,stripe,
50462,streak,
50463,tick,
50464,dot,
50465,point,
50466,notch,
50467,nick,
50468,print,
50469,imprint,
50470,impress,
50471,impression,
50472,        ,
50473,keyboard symbols,
50474,printing symbols,
50475,red letter,
50476,italics,
50477,sublineation,
50478,underlining,
50479,bold font,
50480,jotting,
50481,note,
50482,annotation,
50483,reference,
50484,blaze,
50485,cedilla,
50486,guillemets,
50487,hachure,
50488,quotation marks,
50489,double quotes,
50490,""" ",
50491,parentheses,
50492,"""( )",
50493,brackets,
50494,"""[ ]",
50495,braces,
50496,"""{ }",
50497,curly brackets,
50498,arrows,
50499,slashes,
50500,left parenthesis,
50501,"""(",
50502,right parenthesis,
50503,""")",
50504,opening bracket,
50505,"""[",
50506,closing bracket,
50507,"""]",
50508,left curly brace,
50509,"""{",
50510,right curly brace,
50511,"""}",
50512,left arrow,
50513,"""&lt;",
50514,right arrow,
50515,"""""&gt;""&gt;",
50516,forward slash,
50517,"""/",
50518,backward slash,
50519,"""\\",
50520,exclamation point,
50521,"""!",
50522,commercial at,
50523,"""@",
50524,pound sign,
50525,"""#",
50526,percent sign,
50527,"""%",
50528,carat,
50529,"""^",
50530,ampersand,
50531,"""&amp;",
50532,asterisk,
50533,"""*",
50534,hyphen,
50535,"""-",
50536,dash,
50537,"""-",
50538,"""_",
50539,em dash,
50540,plus sign,
50541,"""+",
50542,equals sign,
50543,"""=",
50544,question mark,
50545,"""?",
50546,period,
50547,""".",
50548,semicolon,
50549,""";",
50550,colon,
50551,""":",
50552,comma,
50553,""",",
50554,apostrophe,
50555,"""'",
50556,single quote,
50557,"""'",
50558,tilde,
50559,"""~",
50560,        ,
50561,badge,
50562,criterion,
50563,countercheck,
50564,countermark,
50565,countersign,
50566,counterfoil,
50567,duplicate,
50568,tally,
50569,label,
50570,ticket,
50571,billet,
50572,letter,
50573,counter,
50574,check,
50575,chip,
50576,chop,
50577,dib,
50578,totem,
50579,tessera,
50580,card,
50581,bill,
50582,witness,
50583,voucher,
50584,stamp,
50585,cacher,
50586,trade mark,
50587,Hall mark,
50588,        ,
50589,signature,
50590,mark,
50591,autograph,
50592,autography,
50593,attestation,
50594,hand,
50595,hand writing,
50596,sign manual,
50597,cipher,
50598,seal,
50599,sigil,
50600,signet,
50601,hand and seal,
50602,paraph,
50603,brand,
50604,superscription,
50605,indorsement,
50606,endorsement,
50607,        ,
50608,password,
50609,watchword,
50610,catchword,
50611,security card,
50612,pass,
50613,passkey,
50614,credentials,
50615,open sesame,
50616,timbrology,
50617,mot de passe,
50618,mot du guet,
50619,pass-parole,
50620,shibboleth,
50621,title,
50622,heading,
50623,docket,
50624,address card,
50625,visiting card,
50626,carte de visite,
50627,insignia,
50628,banner,
50629,banneret,
50630,bannerol,
50631,bandrol,
50632,flag,
50633,colors,
50634,streamer,
50635,standard,
50636,eagle,
50637,labarum,
50638,oriflamb,
50639,oriflamme,
50640,figurehead,
50641,ensign,
50642,pennon,
50643,pennant,
50644,pendant,
50645,burgee,
50646,blue Peter,
50647,jack,
50648,ancient,
50649,gonfalon,
50650,union jack,
50651,banderole,
50652,old glory,
50653,quarantine flag,
50654,vexillum,
50655,yellow-flag,
50656,yellow jack,
50657,tricolor,
50658,stars and stripes,
50659,bunting,
50660,heraldry,
50661,crest,
50662,coat of arms,
50663,arms,
50664,armorial bearings,
50665,hatchment,
50666,escutcheon,
50667,scutcheon,
50668,shield,
50669,supporters,
50670,livery,
50671,uniform,
50672,cockade,
50673,epaulet,
50674,chevron,
50675,garland,
50676,love knot,
50677,favor,
50678,        ,
50679,beacon,
50680,cairn,
50681,post,
50682,staff,
50683,flagstaff,
50684,hand,
50685,pointer,
50686,vane,
50687,cock,
50688,weathercock,
50689,guidepost,
50690,handpost,
50691,fingerpost,
50692,directing post,
50693,signpost,
50694,pillars of Hercules,
50695,pharos,
50696,bale-fire,
50697,beacon-fire,
50698,l'etoile du Nord,
50699,landmark,
50700,seamark,
50701,lighthouse,
50702,balize,
50703,polestar,
50704,loadstar,
50705,lodestar,
50706,cynosure,
50707,guide,
50708,address,
50709,direction,
50710,name,
50711,sign,
50712,signboard,
50713,        ,
50714,warning,
50715,omen,
50716,prefigurement,
50717,trace,
50718,record,
50719,warning,
50720,alarm,
50721,scepter,
50722,trophy,
50723,gauge,
50724,milestone,
50725,milepost,
50726,brand,
50727,fool's cap,
50728,check,
50729,telltale,
50730,test,
50731,mileage ticket,
50732,milliary,
50733,notification,
50734,advertisement,
50735,word of command,
50736,call,
50737,bugle call,
50738,trumpet call,
50739,bell,
50740,alarum,
50741,cry,
50742,battle cry,
50743,rallying cry,
50744,angelus,
50745,reveille,
50746,sacring bell,
50747,sanctus bell,
50748,exposition,
50749,proof,
50750,pattern,
50751,indicate,
50752,be the sign,
50753,of,
50754,denote,
50755,betoken,
50756,argue,
50757,testify,
50758,bear the impress,
50759,of,
50760,connote,
50761,connotate,
50762,represent,
50763,stand for,
50764,typify,
50765,symbolize,
50766,put an indication,
50767,put a mark,
50768,note,
50769,mark,
50770,stamp,
50771,earmark,
50772,blaze,
50773,label,
50774,ticket,
50775,docket,
50776,dot,
50777,spot,
50778,score,
50779,dash,
50780,trace,
50781,chalk,
50782,print,
50783,imprint,
50784,impress,
50785,engrave,
50786,stereotype,
50787,make a sign,
50788,signalize,
50789,underscore,
50790,give a signal,
50791,hang out a signal,
50792,beckon,
50793,nod,
50794,wink,
50795,glance,
50796,leer,
50797,nudge,
50798,shrug,
50799,tip the wink,
50800,gesticulate,
50801,raise the finger,
50802,hold up the finger,
50803,raise the hand,
50804,hold up the hand,
50805,saw the air,
50806,suit the action to the word,
50807,wave a banner,
50808,unfurl a banner,
50809,hoist a banner,
